Publication ID,DOI,Title,Abstract,Source title/Anthology title,PubYear,Volume,Issue,Pagination,Authors,Authors Affiliations - Name of Research organization,Authors Affiliations - Country of Research organization,Dimensions URL,Times cited,Cited references,Category,DecisionReason
pub.1140681883,10.21437/interspeech.2008-602,Class-based statistical machine translation for field maintainable speech-to-speech translation,,Interspeech 2008,2008,,,2362-2365,"Lane, Ian R.; Waibel, Alex",,,https://app.dimensions.ai/details/publication/pub.1140681883,0,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1052742479,10.1016/j.specom.2012.02.004,Impacts of machine translation and speech synthesis on speech-to-speech translation,"This paper analyzes the impacts of machine translation and speech synthesis on speech-to-speech translation systems. A typical speech-to-speech translation system consists of three components: speech recognition, machine translation and speech synthesis. Many techniques have been proposed for integration of speech recognition and machine translation. However, corresponding techniques have not yet been considered for speech synthesis. The focus of the current work is machine translation and speech synthesis, and we present a subjective evaluation designed to analyze their impact on speech-to-speech translation. The results of these analyses show that the naturalness and intelligibility of the synthesized speech are strongly affected by the fluency of the translated sentences. In addition, several features were found to correlate well with the average fluency of the translated sentences and the average naturalness of the synthesized speech.",Speech Communication,2012,54,7,857-866,"Hashimoto, Kei; Yamagishi, Junichi; Byrne, William; King, Simon; Tokuda, Keiichi",Nagoya Institute of Technology; University of Cambridge; University of Edinburgh,Japan; United Kingdom,https://app.dimensions.ai/details/publication/pub.1052742479,9,"[]|[]|Proceedings of Human Language Technologies: The 2009 Annual Conference of the North American Chapter of the Association for Computational Linguistics, Companion Volume: Short Papers on - NAACL '09|2009|||73|10.3115/1620853.1620876|pub.1099256219|7;[]|[]|IEEE Transactions on Audio Speech and Language Processing|2006|14|6|1924-1934|10.1109/tasl.2006.883177|pub.1061515910|164;[]|[]|2013 IEEE International Conference on Acoustics, Speech and Signal Processing|1999|1||229-232 vol.1|10.1109/icassp.1999.758104|pub.1093327810|134;[]|[]|Interspeech 2009|2009|||528-531|10.21437/interspeech.2009-192|pub.1140682129|35;[]|[]|6th European Conference on Speech Communication and Technology|1999|||2055-2058|10.21437/eurospeech.1999-513|pub.1149910243|189;[]|[]|Interspeech 2009|2009|||2487-2490|10.21437/interspeech.2009-662|pub.1140682650|6;[]|[]|2013 IEEE International Conference on Acoustics, Speech and Signal Processing|1995|1||181-184 vol.1|10.1109/icassp.1995.479394|pub.1093190482|696;[]|[]|2013 IEEE International Conference on Acoustics, Speech and Signal Processing|2000|3||1315-1318 vol.3|10.1109/icassp.2000.861820|pub.1095335420|626;[]|[]|Proceedings of the 12th Conference of the European Chapter of the Association for Computational Linguistics on - EACL '09|2009|||139-147|10.3115/1609067.1609082|pub.1099156366|19;[]|[]|IEEE Signal Processing Magazine|2008|25|3|80-88|10.1109/msp.2008.917989|pub.1061423080|20;[]|[]|2013 IEEE International Conference on Acoustics, Speech and Signal Processing|1997|1||111-114 vol.1|10.1109/icassp.1997.599563|pub.1094488718|50;[]|[]|Proceedings of the 21st International Conference on Computational Linguistics and the 44th annual meeting of the ACL  - ACL '06|2006|||1113-1120|10.3115/1220175.1220315|pub.1099222071|10;[]|[]|Speech Communication|1999|27|3-4|187-207|10.1016/s0167-6393(98)00085-5|pub.1006548331|1178;[]|[]|Proceedings of the Conference on Empirical Methods in Natural Language Processing - EMNLP '08|2008|||254|10.3115/1613715.1613751|pub.1099150814|928;[]|[]|Computational Linguistics|2011|37|2|413-420|10.1162/coli_a_00057|pub.1021074770|201;[]|[]|Interspeech 2010|2010|||194-197|10.21437/interspeech.2010-83|pub.1140683553|5;[]|[]|Proceedings of Human Language Technologies: The 2009 Annual Conference of the North American Chapter of the Association for Computational Linguistics on - NAACL '09|2009|||433|10.3115/1620754.1620817|pub.1099151703|8;[]|[]|Computer Speech & Language|2002|16|3-4|533-550|10.1016/s0885-2308(02)00023-2|pub.1017326256|17;[]|[]|Proceedings of the 2009 Conference on Empirical Methods in Natural Language Processing Volume 1 - EMNLP '09|2009|1||286|10.3115/1699510.1699548|pub.1099201997|192;[]|[]|IEEE Transactions on Audio Speech and Language Processing|2000|8|5|519-532|10.1109/89.861370|pub.1061242613|44",Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1093653109,10.1109/icassp.2011.5947506,AN ANALYSIS OF MACHINE TRANSLATION AND SPEECH SYNTHESIS IN SPEECH-TO-SPEECH TRANSLATION SYSTEM,"This paper provides an analysis of the impacts of machine translation and speech synthesis on speech-to-speech translation systems. The speech-to-speech translation system consists of three components: speech recognition, machine translation and speech synthesis. Many techniques for integration of speech recognition and machine translation have been proposed. However, speech synthesis has not yet been considered. Therefore, in this paper, we focus on machine translation and speech synthesis, and report a subjective evaluation to analyze the impact of each component. The results of these analyses show that the naturalness and intelligibility of synthesized speech are strongly affected by the fluency of the translated sentences.","2011 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",2011,,,5108-5111,"Hashimoto, Kei; Yamagishi, Junichi; Byrne, William; King, Simon; Tokuda, Keiichi",Nagoya Institute of Technology; University of Cambridge; University of Edinburgh,Japan; United Kingdom,https://app.dimensions.ai/details/publication/pub.1093653109,11,"[]|[]|Proceedings of Human Language Technologies: The 2009 Annual Conference of the North American Chapter of the Association for Computational Linguistics, Companion Volume: Short Papers on - NAACL '09|2009|||73|10.3115/1620853.1620876|pub.1099256219|7;[]|[]|Interspeech 2009|2009|||528-531|10.21437/interspeech.2009-192|pub.1140682129|35;[]|[]|Proceedings of the 21st International Conference on Computational Linguistics and the 44th annual meeting of the ACL  - ACL '06|2006|||1113-1120|10.3115/1220175.1220315|pub.1099222071|10;[]|[]|2013 IEEE International Conference on Acoustics, Speech and Signal Processing|1995|1||181-184 vol.1|10.1109/icassp.1995.479394|pub.1093190482|696;[]|[]|Computer Speech & Language|2002|16|3-4|533-550|10.1016/s0885-2308(02)00023-2|pub.1017326256|17;[]|[]|Interspeech 2009|2009|||2487-2490|10.21437/interspeech.2009-662|pub.1140682650|6;[]|[]|Proceedings of Human Language Technologies: The 2009 Annual Conference of the North American Chapter of the Association for Computational Linguistics on - NAACL '09|2009|||433|10.3115/1620754.1620817|pub.1099151703|8;[]|[]|2013 IEEE International Conference on Acoustics, Speech and Signal Processing|1999|1||229-232 vol.1|10.1109/icassp.1999.758104|pub.1093327810|134;[]|[]|Speech Communication|1999|27|3-4|187-207|10.1016/s0167-6393(98)00085-5|pub.1006548331|1178;[]|[]|IEEE Transactions on Audio Speech and Language Processing|2006|14|6|1924-1934|10.1109/tasl.2006.883177|pub.1061515910|164;[]|[]|2013 IEEE International Conference on Acoustics, Speech and Signal Processing|1997|1||111-114 vol.1|10.1109/icassp.1997.599563|pub.1094488718|50;[]|[]|2013 IEEE International Conference on Acoustics, Speech and Signal Processing|1999|1||517-520 vol.1|10.1109/icassp.1999.758176|pub.1093723284|97",Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1061786485,10.1109/tsa.2005.860769,Concept-Based Speech-To-Speech Translation Using Maximum Entropy Models for Statistical Natural Concept Generation,"The IBM Multilingual Automatic Speech-To-Speech TranslatOR (MASTOR) system is a research prototype developed for the Defense Advanced Research Projects Agency (DARPA) Babylon/CAST speech-to-speech machine translation program. The system consists of cascaded components of large-vocabulary conversational spontaneous speech recognition, statistical machine translation, and concatenative text-to-speech synthesis. To achieve highly accurate and robust conversational spoken language translation, a unique concept-based speech-to-speech translation approach is proposed that performs the translation by first understanding the meaning of the automatically recognized text. A decision-tree based statistical natural language understanding algorithm extracts the semantic information from the input sentences, while a natural language generation (NLG) algorithm predicts the translated text via maximum-entropy-based statistical models. One critical component in our statistical NLG approach is natural concept generation (NCG). The goal of NCG is not only to generate the correct set of concepts in the target language, but also to produce them in an appropriate order. To improve maximum-entropy-based concept generation, a set of new approaches is proposed. One approach improves concept sequence generation in the target language via forward–backward modeling, which selects the hypothesis with the highest combined conditional probability based on both the forward and backward generation models. This paradigm allows the exploration of both the left and right context information in the source and target languages during concept generation. Another approach selects bilingual features that enable maximum-entropy-based model training on the preannotated parallel corpora. This feature is augmented with word-level information in order to achieve higher NCG accuracy while minimizing the total number of distinct concepts and, hence, greatly reducing the concept annotation and natural language understanding effort. These features are further expanded to multiple sets to enhance model robustness. Finally, a confidence threshold is introduced to alleviate data sparseness problems in our training corpora. Experiments show a dramatic concept generation error rate reduction of more than 40% in our speech translation corpus within limited domains. Significant improvements of both word error rate and BiLingual Evaluation Understudy (BLEU) score are also achieved in our experiments on speech-to-speech translation.",IEEE Transactions on Audio Speech and Language Processing,2006,14,2,377-392,"Gu, Liang; Gao, Yuqing; Liu, Fu-Hua; Picheny, Michael",Thomas J Watson Research Center,United States,https://app.dimensions.ai/details/publication/pub.1061786485,17,"[]|[]|6th European Conference on Speech Communication and Technology|1999|||275-278|10.21437/eurospeech.1999-72|pub.1149910389|16;[]|[]|Computational Linguistics|2001|27|1|149-150|10.1162/089120101300346840|pub.1004831698|7;[]|[]|Proceedings of the 36th annual meeting on Association for Computational Linguistics  -|1998|1||704|10.3115/980845.980963|pub.1099184287|81;[]|[]|2003 IEEE International Conference on Acoustics, Speech, and Signal Processing, 2003. Proceedings. (ICASSP '03).|2003|1||i-636-i-639|10.1109/icassp.2003.1198861|pub.1095442342|11;[]|[]|6th International Conference on Spoken Language Processing (ICSLP 2000)|2000|||vol. 4, 406-411-0|10.21437/icslp.2000-836|pub.1149915510|3;[]|[]|Machine Translation|2000|15|1-2|105-124|10.1023/a:1011187330969|pub.1032002976|11;[]|[]|6th International Conference on Spoken Language Processing (ICSLP 2000)|2000|||vol. 4, 412-417-0|10.21437/icslp.2000-837|pub.1149915511|5;[]|[]|5th European Conference on Speech Communication and Technology (Eurospeech 1997)|1997|||1543-1546|10.21437/eurospeech.1997-444|pub.1149909444|42;[]|[]|2013 IEEE International Conference on Acoustics, Speech and Signal Processing|1999|1||373-376 vol.1|10.1109/icassp.1999.758140|pub.1093215059|16;[]|[]|Machine Translation|2000|15|1-2|43-73|10.1023/a:1011168216856|pub.1045942587|3;[]|[]|Machine Translation|2002|17|3|185-212|10.1023/b:coat.0000010802.38267.29|pub.1004801054|15;[]|[]|Machine Translation|2000|15|1-2|75-103|10.1023/a:1011116115948|pub.1048914786|39;[]|[]|IEEE Transactions on Audio Speech and Language Processing|2000|8|1|24-36|10.1109/89.817451|pub.1061242563|43;[]|[]|Machine Translation|2002|17|3|165-184|10.1023/b:coat.0000010804.12581.96|pub.1011289542|19;[]|[]|2010 20th International Conference on Pattern Recognition|2000|3||90-93 vol.3|10.1109/icpr.2000.903492|pub.1093304014|3;[]|[]|ANLP/NAACL 2000 Workshop on Conversational systems  -|2000|3||21-26|10.3115/1117562.1117567|pub.1016960651|9;[]|[]|8th European Conference on Speech Communication and Technology (Eurospeech 2003)|2003|||361-364|10.21437/eurospeech.2003-145|pub.1149911139|2;[]|[]|Computer Speech & Language|2004|18|1|25-47|10.1016/s0885-2308(03)00028-7|pub.1016481237|36;[]|[]|Proceedings of the 40th Annual Meeting on Association for Computational Linguistics  - ACL '02|2001|||311-318|10.3115/1073083.1073135|pub.1099239594|15415;[]|[]|2013 IEEE International Conference on Acoustics, Speech and Signal Processing|1997|1||99-102 vol.1|10.1109/icassp.1997.599557|pub.1095701948|52;[]|[]|6th International Conference on Spoken Language Processing (ICSLP 2000)|2000|||vol. 4, 430-435-0|10.21437/icslp.2000-841|pub.1149915516|6;[]|[]|The Journal of the Acoustical Society of America|1976|59|S1|s97-s97|10.1121/1.2003011|pub.1062292845|115;[]|[]|Machine Translation|2000|15|1-2|3-25|10.1023/a:1011186420821|pub.1030946216|27;[]|[]|Proceedings of the 15th conference on Computational linguistics  -|1994|1||349-355|10.3115/991886.991947|pub.1044933745|7;[]|[]|Lecture Notes in Computer Science|1992|587||89-104|10.1007/3-540-55399-1_7|pub.1010087537|22",Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1095575248,10.1109/slt.2010.5700843,JIBBIGO: SPEECH-TO-SPEECH TRANSLATION ON MOBILE DEVICES,"Jibbigo is a speech-to-speech translation application for iPhone, iPod touch, and iPad devices. Jibbigo allows the user to simply speak a sentence, and it speaks the sentence aloud in the other language, much like a personal human interpreter would. The speech-to-speech translation is bi-directional for a two way dialog between participants.",2010 IEEE Spoken Language Technology Workshop,2010,1,,165-166,"Eck, Matthias; Lane, Ian; Zhang, Ying; Waibel, Alex",Mobile Technologies LLC,United States,https://app.dimensions.ai/details/publication/pub.1095575248,11,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1094451024,10.1109/icassp.2009.4960707,RECENT ADVANCES IN SRI'S IRAQCOMM™ IRAQI ARABIC-ENGLISH SPEECH-TO-SPEECH TRANSLATION SYSTEM,"We summarize recent progress on SRI's IraqComm™ Iraqi Arabic-English two-way speech-to-speech translation system. In the past year we made substantial developments in our speech recognition and machine translation technology, leading to significant improvements in both accuracy and speed of the IraqComm system. On the 2008 NIST-evaluation dataset our twoway speech-to-text (S2T) system achieved 6% to 8% absolute improvement in BLEU in both directions, compared to our previous year system [1].","2009 IEEE International Conference on Acoustics, Speech and Signal Processing",2009,1,,4809-4812,"Akbacak, Murat; Franco, Horacio; Frandsen, Michael; Hasan, Saša; Jameel, Huda; Kathol, Andreas; Khadivi, Shahram; Lei, Xin; Mandal, Arindam; Mansour, Saab; Precoda, Kristin; Richey, Colleen; Vergyri, Dimitra; Wang, Wen; Yang, Mei; Zheng, Jing",RWTH Aachen University; SRI International Inc; University of Washington,Germany; United States,https://app.dimensions.ai/details/publication/pub.1094451024,12,"[]|[]|Proceedings of the 38th Annual Meeting on Association for Computational Linguistics  - ACL '00|2000|||440-447|10.3115/1075218.1075274|pub.1099236157|333;[]|[]|IEEE Transactions on Audio Speech and Language Processing|1996|4|4|281-289|10.1109/89.506931|pub.1061242351|86;[]|[]|2006 IEEE International Conference on Acoustics Speed and Signal Processing Proceedings|2006|1||i-1057-i-1060|10.1109/icassp.2006.1660206|pub.1094103630|3;[]|[]|Computer Speech & Language|1998|12|2|75-98|10.1006/csla.1998.0043|pub.1035830196|888;[]|[]|Proceedings. (ICASSP '05). IEEE International Conference on Acoustics, Speech, and Signal Processing, 2005.|2005|1||i - 961-i - 964|10.1109/icassp.2005.1415275|pub.1095807500|169",Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1022379640,10.1145/2141622.2141693,Speech-to-speech translation in an assisted living lab,"In this paper we describe speech processing in the Bremen ambient assisted living lab (BAALL); how it is currently and how it can be improved in the future with the implementation of Machine Translation (MT) technology. We are experiencing the ageing population phenomenon today and thus living in a safe, autonomous, independent, and convenient way in a domestic environment with multimodal human-machine interfaces is desired. We argue for multilinguality in assisted living environments by means of development of a speech-to-speech translation (SST) system.",Proceedings of the 4th International Conference on PErvasive Technologies Related to Assistive Environments,2011,,,1-2,"Anastasiou, Dimitra",University of Bremen,Germany,https://app.dimensions.ai/details/publication/pub.1022379640,7,[]|[]|Interactions|2001|8|6|34-44|10.1145/384076.384085|pub.1018005848|48;[]|[]|Informatics for Health and Social Care|2010|35|3-4|125-143|10.3109/17538157.2010.528655|pub.1014142557|22;[]|[]|Lecture Notes in Computer Science|2010|6233||250-256|10.1007/978-3-642-14770-8_28|pub.1042275981|3;[]|[]|GeroPsych|2010|23|2|121-130|10.1024/1662-9647/a000009|pub.1056331709|31;[]|[]|IEEE/RSJ International Conference on Intelligent Robots and System|2002|2||1338-1343|10.1109/irds.2002.1043940|pub.1094631989|37;[]|[]|Proceedings of the 2nd International Conference on PErvasive Technologies Related to Assistive Environments|2009|||1-8|10.1145/1579114.1579153|pub.1002380473|20;[]|[]|Proceedings of the 2nd International Conference on PErvasive Technologies Related to Assistive Environments|2009|||1-8|10.1145/1579114.1579131|pub.1000739103|17,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1095537116,10.1109/icsda.2009.5278383,Development and Application of Multilingual Speech Translation,"This paper describes the latest version of handheld speech-to-speech translation system developed by National Institute of Information and Communications Technology, NICT. As the entire speech-to-speech translation functions are implemented into one terminal, it realizes real-time and location free speech-to-speech translation service for many language pairs. A new noise-suppression technique notably improves speech recognition performance. Corpus-based approaches of recognition, translation, and synthesis enabled wide range coverage of topic varieties and portability to other languages. Currently, we mainly focus on translation between Japanese, English and Chinese.",2009 Oriental COCOSDA International Conference on Speech Database and Assessments,2009,,,9-12,"Nakamura, Satoshi",National Institute of Information and Communications Technology; Spoken Language Communication Research Group of NICT MASTAR project is formerly ATR Spoken Language Communication Research Laboratories.,Japan,https://app.dimensions.ai/details/publication/pub.1095537116,3,"[]|[]|Interspeech 2004|2004|||441-444|10.21437/interspeech.2004-178|pub.1140621828|7;p|u|b|.|1|0|9|4|4|3|5|8|0|1;[]|[]|2013 IEEE International Conference on Acoustics, Speech and Signal Processing|2000|3||1315-1318 vol.3|10.1109/icassp.2000.861820|pub.1095335420|626;[]|[]|Speech Communication|2003|41|2-3|369-379|10.1016/s0167-6393(02)00179-6|pub.1046381240|27;[]|[]|IEEE Transactions on Audio Speech and Language Processing|2006|14|2|365-376|10.1109/tsa.2005.860774|pub.1061786487|108;[]|[]|7th European Conference on Speech Communication and Technology (Eurospeech 2001)|2001|||221-224|10.21437/eurospeech.2001-78|pub.1149911063|44;[]|[]|IEICE Transactions on Information and Systems|2006|E89-D|3|922-930|10.1093/ietisy/e89-d.3.922|pub.1059671893|10;[]|[]|8th European Conference on Speech Communication and Technology (Eurospeech 2003)|2003|||2721-2724|10.21437/eurospeech.2003-525|pub.1149911561|11;[]|[]|2004 IEEE International Conference on Acoustics, Speech, and Signal Processing|2004|1||i-657-i-660|10.1109/icassp.2004.1326071|pub.1094850075|13;[]|[]|IEEE Transactions on Signal Processing|2002|50|2|174|10.1109/78.978374|pub.1061231793|9348",Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1094495220,10.1109/icosp.2010.5656047,Real-time speaker adapted speech to speech translation system in mobile environment,"In this paper, a real-time speech to speech translation (S2ST) system in mobile environment is designed and implemented as a client-server architecture. Particularly, we apply cross lingual speaker adaptation to adapt synthesized speech to enrolling speaker to ensure personalization. This realtime S2ST system provides streaming way, multi-threading and speaker adapted speech to speech translation for mobile user. It makes it available that mobile users get personalized real-time S2ST service through 3G/WIFI network in mobile environment.",IEEE 10th INTERNATIONAL CONFERENCE ON SIGNAL PROCESSING PROCEEDINGS,2010,,,577-580,"Guan, Yong; Zheng, Lin; Tian, Jilei",Nokia Shanghai Bell Co Ltd; Peking University,China,https://app.dimensions.ai/details/publication/pub.1094495220,2,"[]|[]|2010 IEEE International Conference on Acoustics, Speech and Signal Processing|2010|||4594-4597|10.1109/icassp.2010.5495558|pub.1095421006|6;[]|[]|7th International Conference on Mobile Data Management (MDM'06)|2006|||1-6|10.1109/mdm.2006.70|pub.1095099269|2;[]|[]|2003 IEEE Workshop on Automatic Speech Recognition and Understanding (IEEE Cat. No.03EX721)|2003|||664-669|10.1109/asru.2003.1318519|pub.1094278622|8;[]|[]|Interspeech 2009|2009|||528-531|10.21437/interspeech.2009-192|pub.1140682129|35;[]|[]|Speech Communication|1990|9|5-6|453-467|10.1016/0167-6393(90)90021-z|pub.1020278631|861;[]|[]|Speech Communication|1999|27|3-4|187-207|10.1016/s0167-6393(98)00085-5|pub.1006548331|1178",Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1093706253,10.1109/slt.2008.4777886,Recent Improvements in BBN's English/Iraqi Speech-to-Speech Translation System,"We report on recent improvements in our English/Iraqi Arabic speech-to-speech translation system. User interface improvements include a novel parallel approach to user confirmation which makes confirmation cost-free in terms of dialog duration. Automatic speech recognition improvements include the incorporation of state-of-the-art techniques in feature transformation and discriminative training. Machine translation improvements include a novel combination of multiple alignments derived from various pre-processing techniques, such as Arabic segmentation and English word compounding, higher order N-grams for target language model, and use of context in form of semantic classes and Part-of-Speech tags.",2008 IEEE Spoken Language Technology Workshop,2008,,,245-248,"Choi, Fred; Tsakalidis, Stavros; Saleem, Shirin; Kao, Chia-lin; Meermeier, Ralf; Krstovski, Kriste; Moran, Christine; Subramanian, Krishna; Stallard, David; Prasad, Rohit; Natarajan, Prem",RTX BBN Technologies Corp,United States,https://app.dimensions.ai/details/publication/pub.1093706253,5,"[]|[]|2006 IEEE International Conference on Acoustics Speed and Signal Processing Proceedings|2006|1||i - 313-i - 316|10.1109/icassp.2006.1660020|pub.1094735563|28;[]|[]|Interspeech 2007|2007|||2445-2448|10.21437/interspeech.2007-643|pub.1140718118|2;[]|[]|Interspeech 2006|2006|||paper 2012-tue1a1o.1-0|10.21437/interspeech.2006-261|pub.1140680844|5;[]|[]|2013 IEEE International Conference on Acoustics, Speech and Signal Processing|2008|||4973-4976|10.1109/icassp.2008.4518774|pub.1093686041|5;[]|[]|Interspeech 2007|2007|||2817-2820|10.21437/interspeech.2007-648|pub.1140718123|11;[]|[]|Interspeech 2007|2007|||2821-2824|10.21437/interspeech.2007-649|pub.1140718124|2;[]|[]|Proceedings of the second international conference on Human Language Technology Research -|2002|||110|10.3115/1289189.1289267|pub.1099184019|10;[]|[]|Computational Linguistics|2003|29|1|19-51|10.1162/089120103321337421|pub.1042637788|1213;[]|[]|Interspeech 2005|2005|||281-284|10.21437/interspeech.2005-158|pub.1140679859|10;[]|[]|IEEE International Conference on Acoustics Speech and Signal Processing|2002|1||i-5-i-8|10.1109/icassp.2002.5743640|pub.1093289226|22;[]|[]|IEEE International Conference on Acoustics Speech and Signal Processing|2002|||i-i|10.1109/icassp.2002.1005661|pub.1098806223|20;[]|[]|Proceedings of the National Academy of Sciences of the United States of America|2004|101|suppl_1|5228-5235|10.1073/pnas.0307752101|pub.1026144033|4869;[]|[]|Human Language Technologies 2007: The Conference of the North American Chapter of the Association for Computational Linguistics; Companion Volume, Short Papers on XX - NAACL '07|2007|||25-28|10.3115/1614108.1614115|pub.1099151034|3;[]|[]|Computational Intelligence and its Applications|2006||||10.4018/978-1-59140-830-7|pub.1096031635|65;[]|[]|IEEE International Conference on Acoustics Speech and Signal Processing|2002|||i-i|10.1109/icassp.2002.1005687|pub.1096870038|166;[]|[]|IEEE International Conference on Acoustics Speech and Signal Processing|2002|1||i-105-i-108|10.1109/icassp.2002.5743665|pub.1095535767|348",Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
