institution_variant,standardized_name,ror_id,grid_id,country
CAS,Chinese Academy of Sciences,https://ror.org/034t30j35,grid.9227.e,China
Chinese Academy of Sciences,Chinese Academy of Sciences,https://ror.org/034t30j35,grid.9227.e,China
Institute of Computing Technology CAS,Chinese Academy of Sciences,https://ror.org/034t30j35,grid.9227.e,China
DCU,Dublin City University,https://ror.org/047nfhh60,grid.7963.e,Ireland
ADAPT Centre,Dublin City University,https://ror.org/047nfhh60,grid.7963.e,Ireland
Dublin City University,Dublin City University,https://ror.org/047nfhh60,grid.7963.e,Ireland
CMU,Carnegie Mellon University,https://ror.org/05x2bcf33,grid.147455.6,United States
Carnegie Mellon University,Carnegie Mellon University,https://ror.org/05x2bcf33,grid.147455.6,United States
UAC,Université d'Abomey-Calavi,https://ror.org/03e49cw42,grid.412850.7,Benin
Université d'Abomey-Calavi,Université d'Abomey-Calavi,https://ror.org/03e49cw42,grid.412850.7,Benin
